Vendor,Brand,DS#,UPC,Product Name,Vendor Item#,Wholesale Cost,Drop Ship Cost,MSRP,Case Qty,# Images,Has Compliance Docs,Supplier ID,Source File,File Path
CANAL TOYS,Photo Creator,5530996,850068897988,Photo Creator Instant Print Camera – Pink Edition,CLK055,48.73,55.99,69.99,4,9,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530996.json
CANAL TOYS,Photo Creator,5530997,850068897889,Real Mini Camera – Original Style Digital Keychain Camera,CLK058,10.55,16,19.99,6,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530997.json
CANAL TOYS,Photo Creator,5530998,850068897896,Real Mini Camera – Compact Style Digital Keychain Camera,CLK061,10.55,16,19.99,6,9,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530998.json
CANAL TOYS,So Slime,5526590,851786007567,So Slime DIY Slime Case Shaker Storage Set,277006,10.8,16.74,24.99,4,8,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5526590.json
CANAL TOYS,So Slime,5526591,851786007253,So Slime DIY Slime Factory – Just Add Water!,277004,12.15,18.74,24.99,6,1,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5526591.json
CANAL TOYS,So Slime,5527199,851786007611,So Slime DIY Slime Factory – Bold & Creepy Edition,277018,12.15,18.74,24.99,6,3,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5527199.json
CANAL TOYS,So Slime,5530498,850033017717,So Slime DIY Sensory Slime Factory,277186,15.61,21.49,29.99,6,3,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530498.json
CANAL TOYS,So Slime,5530501,850033017694,So Slime DIY Glow-in-the-Dark Lava Slime 5-Pack,277216,11.93,16.74,24.99,6,3,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530501.json
CANAL TOYS,So Slime,5530503,850041019680,So Slime DIY Marble Mix & Twist Slime Kit,277263,17.3,24.5,34.99,4,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530503.json
CANAL TOYS,So Slime,5530987,851786007918,So Slime DIY Slime'licious Scented Slime Station,277063,13.23,18.74,24.99,6,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530987.json
CANAL TOYS,So Slime,5530988,850060743061,So Slime DIY Slime'spresso Café Slime Making Machine,277295,14.65,21.49,29.99,4,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530988.json
CANAL TOYS,Studio Creator,5528927,855635005766,"Studio Creator Video Maker Kit with Ring Light, Tripod & Green Screen",872001,11.7,16.5,19.99,4,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5528927.json
CANAL TOYS,Studio Creator,5529320,850020801466,Studio Creator V2 Video Maker Kit with LED Ring Light & Green Screen,872006,11.7,18,22.99,4,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5529320.json
CANAL TOYS,Studio Creator,5530505,850041019116,Studio Creator 360° Video Maker Kit with Motion Tracking,872064,22.5,27,29.99,4,9,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530505.json
CANAL TOYS,Studio Creator,5530506,850041019109,Studio Creator Podcast & Vlog Kit with Microphone & LED Light,872074,10.94,18.74,24.99,6,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530506.json
CANAL TOYS,Style 4 Ever,5528695,851786007291,Style 4 Ever DIY Lava Lamp Kit,228157,12.87,21.4526,28.99,6,9,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5528695.json
CANAL TOYS,Style 4 Ever,5530977,850020801404,Style 4 Ever Fashion Design Studio,228212,12.41,21.4526,28.99,6,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530977.json
CANAL TOYS,Style 4 Ever,5530982,850041019666,Style 4 Ever 3-in-1 Scrapbooking Station,228351,13.28,19.87,26.99,4,11,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530982.json
CANAL TOYS,Style 4 Ever,5530984,850052337384,Style 4 Ever Diamond Art Lamp Set – Unicorn & Butterfly,228391,7.3,11.15,14.99,6,10,No,1051,Canal Toys New Item Setup Sheet Template Version 2025 3.25.26.xlsx,products/canal-toys/DS5530984.json
